Genus,Species/Occurence,Reference,Locality/Formation,Longitude,Latitude,Paleolongitude,Paleolatitude,Organ,Continent,Mya,Epoch,Age,Confidence,Notes
Palaeophytocrene,Palaeophytocrene elytraeformis,Wolfe 1977,Kulthieth formation loc 3879 (AK),-145.7525,60.5424,,63.64438,endocarp,NAM,33.9,Eocene,late Eocene ,high,single specimen very poor photograph quality making it hard to distinguish pits at all
Pyrenacantha,Pyrenacantha austroamericana,Stull et al 2012,Belen Flora (Peru),-81.236983,-4.7499,,2.04551,endocarp,SAM,33.9,Oligocene,late-early Oligocene,high,based on single fragmentary carbonate-infiltrated endocarp
Pyrenacantha,Pyrenacantha simonsii,Stull et al 2020,Jebel Qatrani (Egypt),30.6346,29.639,,29,endocarp,SAF,30,Oligocene,early Oligocene,high,2 specimens
Palaeophytocrene,Palaeophytocrene sp. ,Rozefelds et al 2021,Launceston area (Australia),147.15,-41.43,143.52218,-56.84964,endocarp,AUS,35,Eocene,late Eocene,high,
Manchesteria ,Manchesteria australis ,Rozefelds et al 2021,Poole Creek palaeochannel (Australia),137.67,-28.633,122.23106,-49.25822,endocarp,AUS,50,Eocene,middle Eocene,high,
Palaeophytocrene,Palaeophytocrene kressenbergensis,Tichy 1979,St Pankraz (Austria),12.9251,47.724,-0.59772,44.17799,endocarp,EUR,45,Eocene,Eocene,high,
Palaeophytocrene,Palaeophytocrene sp.,Herrera 2014,Cucracha Fm Panama Canal (Panama),-79.66,9.055,-81.76563,6.14975,endocarp,CTG,18,Miocene,early Miocene,high,dissertation
Palaeophytocrene,Palaeophytocrene sp.,Meyer and Manchester 1997,Iron Mountain John Day Formation (OR),-120.406506,44.84016,,9,endocarp,NAM,32.2,Oligocene,early Oligocene,high,
Palaeophytocrene,Palaeophytocrene sp.,Tichy 1979,St Pankraz (Austria),12.9251,47.724,-0.59772,44.17799,endocarp,EUR,45,Eocene,Eocene,high,
Palaeophytocrene,Palaeophytocrene sp.,Del Rio and de Franceschi 2020,Gres de Belleu Formation (France),3.338309,49.354976,-9.71681,45.31728,endocarp,EUR,47,Eocene,upper Ypresian,high,
Palaeophytocrene,Palaeophytocrene sp.,Collinson et al 2012,Messel (Germany),8.756,49.917,-5.10538,46.74511,endocarp,EUR,47,Eocene,middle Eocene,high,
Perforatocarpum,Perforatocarpum echinatum,Stull et al 2016,Sheppey London Clay (England),0.834167,51.4256,,0.9,endocarp,EUR,53.5,Eocene,Eocene,high,
Pyrenacantha,Pyrenacantha sp. 1,Collinson et al 2012,Messel (Germany),8.756,49.917,-5.10538,46.74511,endocarp,EUR,47,Eocene,middle Eocene,high,
Pyrenacantha,Pyrenacantha sp. 2,Collinson et al 2012,Messel (Germany),8.756,49.917,-5.10538,46.74511,endocarp,EUR,47,Eocene,middle Eocene,high,
Pyrenacantha,Pyrenacantha sp. 3,Collinson et al 2012,Messel (Germany),8.756,49.917,-5.10538,46.74511,endocarp,EUR,47,Eocene,middle Eocene,high,
Palaeophytocrene,Paleophytocreneae sp.,Atkinson et al in review ,California,-121.5,38.58,-105.21624,50.92305,endocarp,NAM,83,Late Cretaceous,Turonian,high,
